,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
231,郑州宇通重工有限公司,宇通牌,纯电动厢式运输车,YTZ5040XXYZ0BEV,nan,2017,8,1700,"5880,5320",2270,4490,"2800,2700",55.29,磷酸铁锂蓄电池,nan,99.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/3100/480,永磁同步电机,75,nan,nan,nan,260,nan,0.238,nan,nan,配置ID： NC240179
232,郑州宇通重工有限公司,宇通牌,纯电动自装卸式垃圾车,YTZ5040ZZZZ1BEV,nan,2017,8,1700,5400,2620,4490,3500,55.29,磷酸铁锂蓄电池,nan,99.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/3100/480,永磁同步电机,75,nan,nan,nan,205,nan,0.498,nan,nan,配置ID： NC240165
233,郑州宇通重工有限公司,宇通牌,纯电动扫路车,YTZ5180TSLZ0BEV,nan,2017,8,2490,8180,3250,18000,12560,273.71,磷酸铁锂蓄电池,nan,"134.77,131.11",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2400,永磁同步电机,85,nan,nan,nan,410,nan,nan,nan,4.21,配置ID： NC240126
234,河南森源重工有限公司,森源牌,纯电动清洗车,SMQ5180GQXBEV,nan,2017,8,"2500, 2500","8205, 9145","2900, 2900","18000, 18000","10100, 10100","193.50, 193.50","磷酸铁锂电池, 磷酸铁锂电池",nan,"97.52, 97.52",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"180/2400/2950, 180/2400/2950","永磁同步电动机, 永磁同步电动机","80, 80",nan,nan,nan,"220, 220",nan,nan,nan,"5.48, 5.48","配置ID： NC238804, 配置ID： NC238708"
235,扬子江汽车集团有限公司,扬子江牌,纯电动城市客车,WG6100BEVHM10,nan,2017,8,2500,10500,"3200,3520",16500,11000,138.20,锰酸锂电池,10.60,115.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/7500/900,永磁同步电机,69,nan,nan,nan,238,nan,0.211,nan,nan,配置ID： NC239844
236,扬子江汽车集团有限公司,扬子江牌,纯电动城市客车,WG6850BEVZT9,nan,2017,8,2450,8530,"2800,3000",12500,"8000,8300",129.00,磷酸铁锂电池,"15.60,15.10",106.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110/3000/1600,永磁同步电机,69,nan,nan,nan,330,nan,0.179,nan,nan,配置ID： NC239814
237,武汉客车制造股份有限公司,华中牌,纯电动客车,WH6101BEV,nan,2017,8,2500,10480,"3210,3310",15800,10400,165.90,磷酸铁锂蓄电池,15.70,101.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3200/1000,永磁同步电机,100,nan,nan,nan,255,nan,0.234,nan,nan,配置ID： NC238979
238,珠海广通汽车有限公司,广通牌,纯电动厢式运输车,GTQ5025XXYEV,nan,2017,8,1626,4430,1930,2180,1450,35.82,三元软包锂离子动力电池,nan,110.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/9000/210,永磁同步电机,85,nan,nan,235,nan,nan,0.403,nan,nan,配置ID： NC238985
239,珠海广通汽车有限公司,广通牌,纯电动厢式运输车,GTQ5043XXYBEV1,nan,2017,8,2040,5990,2740,4495,2700,52.84,三元软包锂离子动力电池,nan,126.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92/4500/750,永磁同步,105,nan,nan,nan,250,nan,0.241,nan,nan,配置ID： NC234738
240,珠海广通汽车有限公司,广通牌,纯电动城市客车,GTQ6101BEVBT8,nan,2017,8,2500,10200,3160,14000,"10000,9500",81.20,钛酸锂电池,"18.40,19.40",nan,"3.05C,3.17C",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,nan,nan,0.227,nan,nan,配置ID： NC238808
