,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
271,昆明客车制造有限公司,云海牌,插电式混合动力城市客车,KK6103G03PHEV,nan,2017,8,2500,10450,"3150,3250",16600,"11700,12400",51.15,锰酸锂电池,5.98,nan,nan,nan,是,WP7NG240E51,潍柴西港新能源动力有限公司,7470/177,nan,nan,nan,nan,nan,NG/电混合动力,100/3000/865,永磁同步电机,69,nan,90,nan,nan,nan,nan,nan,nan,配置ID： NC239064
272,陕西跃迪新能源汽车有限公司,跃迪牌,纯电动城市客车,SQZ6820EVG,nan,2017,8,2390,8160,"3100,3000",12200,"7900,7700",115.20,磷酸铁锂蓄电池,12.70,115.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/3000/2000,永磁同步电机,69,nan,nan,nan,250,nan,0.204,nan,nan,配置ID： NC239795
273,东风汽车公司,东风牌,纯电动厢式运输车,EQ5042XXYACBEV,（第7批发布推荐车型）,2017,8,2000,5980,2800,4495,2805,77.60,三元材料锂离子蓄电池,nan,116.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/5000/700,永磁同步电机,85,nan,nan,nan,280,nan,0.314,nan,nan,配置ID： NC186363 *
274,东风裕隆汽车有限公司,裕路牌,纯电动轿车,DYM7009ABBEV,（第3批发布推荐车型）,2017,8,1669,3643,1496,1365,1065,nan,三元锂离子电池,nan,122.10,nan,13.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27/6600/140,交流异步,100,nan,nan,150,nan,nan,nan,100,nan,配置ID： NC198707 *
275,北汽福田汽车股份有限公司,福田牌,纯电动城市客车,BJ6123EVCA-37,（第5批发布推荐车型）,2017,8,2550,12000,"3050,3150,3250",18000,"12700,12980,13300",101.50,钛酸锂电池,"19.00,18.60,18.10",nan,"3.16C,3.17C",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/7500/900,永磁同步电机,69,nan,nan,nan,nan,nan,0.228,nan,nan,配置ID： NC221372 *
276,北京新能源汽车股份有限公司,北京牌,纯电动轿车,BJ7000BRDA-BEV,（第1批发布推荐车型）,2017,8,1720,4025,1503,1670,1295,nan,磷酸铁锂电池,nan,94.06,nan,16.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/9000/144,永磁同步电机,125,nan,nan,152,nan,nan,nan,110,nan,配置ID： NC186787 *
277,一汽客车(大连)有限公司,解放牌,纯电动厢式运输车,CA5040XXYBEV31,（第5批发布推荐车型）,2017,8,1995,"5960,5835",2650,4490,3000,75.00,三元锂离子动力蓄电池,nan,123.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/4000/745,永磁同步电机,100,nan,nan,nan,320,nan,0.301,nan,nan,配置ID： NC218732 *
278,丹东黄海汽车有限责任公司,黄海牌,插电式混合动力城市客车,DD6120CHEV3N,（第5批发布推荐车型）,2017,8,2532,11500,3440,17900,"12000,12450",51.14,锰酸锂蓄电池,5.80,nan,nan,nan,是,B6.7GE5 210,湖北函宇动力科技有限公司,6700/155,nan,nan,nan,nan,nan,LNG/电混合动力,135/3500/1000,永磁同步电机,69,nan,90,nan,nan,nan,nan,nan,nan,配置ID： NC218985 *
279,北汽新能源汽车常州有限公司,北京牌,纯电动轿车,BJ7000KPCC-BEV,（第3批发布推荐车型）,2017,8,1676,2986,1492,1045,895,nan,三元锂离子电池,nan,126.24,nan,11.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36/9000/120,永磁同步电机,110,nan,nan,150,nan,nan,nan,100,nan,配置ID： NC200840 *
280,浙江豪情汽车制造有限公司,吉利牌,纯电动轿车,JL7001BEV38,（第2批发布推荐车型）,2017,8,"1540, 1540","2806, 2806","1555, 1555","955, 955","775, 775",nan,"三元锂离子电池, 三元锂离子电池",nan,"92.79, 92.79",nan,"10.18, 9.80",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/7250/85, 30/7200/90","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"155, 155",nan,nan,nan,"100, 100",nan,"配置ID： NC194638 *, 配置ID： NC193214"
281,福建新龙马汽车股份有限公司,福建牌,纯电动厢式运输车,FJ5020XXYBEVA5,（第3批发布推荐车型）,2017,8,1677,4071,1902,1940,1330,35.30,镍钴锰酸锂电池,nan,109.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/8000/240,永磁同步电机,100,nan,nan,210,nan,nan,0.500,nan,nan,配置ID： NC195335 *
282,福建新龙马汽车股份有限公司,福建牌,纯电动厢式运输车,FJ5020XXYBEVA12,（第3批发布推荐车型）,2017,8,1677,4071,1902,1940,"1340,1350",36.30,镍钴锰酸锂电池,nan,114.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/7000/200,永磁同步电机,100,nan,nan,220,nan,nan,0.493,nan,nan,配置ID： NC195308 *
283,郑州宇通客车股份有限公司,宇通牌,纯电动客车,ZK6808BEVQ5,（第1批发布推荐车型）,2017,8,2360,8045,"3025,3250",11480,"8450,8150",124.41,磷酸铁锂动力电池,15.30,100.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3000/1530,永磁同步电机,"90,80",nan,nan,nan,351,nan,0.240,nan,nan,配置ID： NC188125 *
284,郑州宇通客车股份有限公司,宇通牌,插电式混合动力城市客车,ZK6850CHEVPG35,（第2批发布推荐车型）,2017,8,"2500, 2500","8530, 8530","3200,3400, 3200,3400","12600, 12600","8850,9200,9470, 8850,9200,9470","26.04, 26.04","锰酸锂蓄电池, 锰酸锂蓄电池","4.90, 4.90",nan,nan,nan,"是, 是","YC4S150-50, WP4.1Q140E50","广西玉柴机器股份有限公司, 潍柴动力扬州柴油机有限责任公司","3767/110, 4088/103",nan,"12.10, 12.00",nan,nan,nan,"柴油/电混合动力, 柴油/电混合动力","125/6000/600, 125/6000/600","车载永磁同步电机, 车载永磁同步电机","69, 69",nan,"52, 52",nan,nan,"60.30, 60.70",nan,nan,nan,"配置ID： NC195629 *, 配置ID： NC195628 *"
285,郑州宇通客车股份有限公司,宇通牌,纯电动城市客车,ZK6105BEVG31,（第5批发布推荐车型）,2017,8,2500,10500,"3050,3200,3250,3350",16500,"10350,10800,11290",143.07,磷酸铁锂蓄电池,11.90,119.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2400,永磁同步电机,69,nan,nan,nan,255,nan,0.220,nan,nan,配置ID： NC218871 *
286,郑州宇通客车股份有限公司,宇通牌,纯电动城市客车,ZK6805BEVG31,（第5批发布推荐车型）,2017,8,2350,8050,"2975,3150,3300",11800,"7400,7700,7900",95.38,磷酸铁锂蓄电池,11.10,119.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3000/1530,永磁同步电机,69,nan,nan,nan,205,nan,0.240,nan,nan,配置ID： NC218858 *
287,比亚迪汽车工业有限公司,比亚迪牌,纯电动城市客车,BYD6800HZEV1,（第5批发布推荐车型）,2017,8,"2060, 2060","8010, 8010","3150, 3150","9900, 9900","6850,6550, 6850,6550","118.30, 118.30","磷酸铁锂蓄电池, 磷酸铁锂蓄电池","18.12,18.90, 18.12,18.90","96.09, 96.09",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"90/7500/400, 90/7500/400","永磁同步电机, 永磁同步电机","69, 69",nan,nan,nan,"335, 335",nan,"0.226,0.238, 0.226,0.238",nan,nan,"配置ID： NC234806 *, 配置ID： NC219615 *"
288,中植一客成都汽车有限公司,中植汽车牌,纯电动客车,CDL6110LRBEV1,（第2批发布推荐车型）,2017,8,2500,10990,"3500,3600",16150,11600,166.20,磷酸铁锂电池,13.30,109.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3200/1000,三相交流同步电机,100,nan,nan,nan,270,nan,0.232,nan,nan,配置ID： NC197400 *
289,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5025XXYBEV1NBBFAAML,（第4批发布推荐车型）,2017,8,1620,4150,1905,2290,1680,42.72,三元材料锂离子电池,nan,101.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42/6000/150,永磁同步电机,100,nan,nan,265,nan,nan,0.420,nan,nan,配置ID： NC211713 *
290,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5025XXYBEV1NBBFBAML,（第3批发布推荐车型）,2017,8,1620,4150,1905,2290,1680,42.72,三元材料锂离子电池,nan,101.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/9000/200,永磁同步电机,100,nan,nan,265,nan,nan,0.446,nan,nan,配置ID： NC203121 *
291,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5025XXYBEV1NBBFAAXL,（第4批发布推荐车型）,2017,8,1666,4198,1933,2290,1680,42.72,三元材料锂离子电池,nan,101.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42/6000/150,永磁同步电机,100,nan,nan,265,nan,nan,0.420,nan,nan,配置ID： NC211663 *
292,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5044XXYBEV1NBLJEAGK,（第4批发布推荐车型）,2017,8,"2050,2150,2250, 2050,2150,2250, 2050,2150,2250, 2050,2150,2250, 2050,2150,2250, 2050,2150,2250","5995, 5995, 5995, 5995, 5995, 5995","2870,2970,3070, 2870,2970,3070, 2870,2970,3070, 2870,2970,3070, 2870,2970,3070, 2870,2970,3070","4490, 4490, 4490, 4490, 4490, 4490","2985,3050,2990, 2985,3050,2990, 2985,3050,2990, 2985,3050,2990, 2985,3050,2990, 2985,3050,2990","77.40, 77.40, 77.36, 77.36, 77.60, 77.60","三元锂蓄电池, 三元锂蓄电池, 三元材料锂离子蓄电池, 三元材料锂离子蓄电池, 三元材料锂离子电池, 三元材料锂离子电池",nan,"120.30, 120.30, 108.70, 108.70, 110.86, 110.86",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"100/3700/750, 100/3700/750, 100/3700/750, 100/3700/750, 100/3700/750, 100/3700/750","永磁同步电机, 永磁同步电机, 永磁同步电机, 永磁同步电机, 永磁同步电机, 永磁同步电机","80, 80, 80, 80, 80, 80",nan,nan,nan,"295, 295, 290, 290, 315, 315",nan,"0.280, 0.282, 0.292, 0.290, 0.291, 0.290",nan,nan,"配置ID： NC238871 *, 配置ID： NC238865 *, 配置ID： NC238702 *, 配置ID： NC238637 *, 配置ID： NC211615 *, 配置ID： NC211609 *"
293,成都大运汽车集团有限公司,大运牌,纯电动压缩式垃圾车,CGC5074ZYSBEV1NBLJFAGK,（第4批发布推荐车型）,2017,8,2072,"6490,6550",2400,7415,"5630,5765",77.60,三元材料锂离子电池,nan,110.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/5500/460,永磁同步电机,90,nan,nan,nan,204,nan,0.372,nan,nan,配置ID： NC211626 *
294,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5025XXYBEV1NBBFBAXY,（第5批发布推荐车型）,2017,8,1666,4198,1933,2200,1480,42.72,三元材料锂离子电池,nan,107.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/9000/200,永磁同步电机,100,nan,nan,265,nan,nan,0.378,nan,nan,配置ID： NC218787 *
295,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5025XXYBEV1NBBFBAXL,（第4批发布推荐车型）,2017,8,1666,4198,1933,2290,1680,42.72,三元材料锂离子电池,nan,101.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60/9000/200,永磁同步电机,100,nan,nan,265,nan,nan,0.446,nan,nan,配置ID： NC211712 *
296,成都大运汽车集团有限公司,大运牌,纯电动厢式运输车,CGC5044XXYBEV1NBLJFAGK,（第3批发布推荐车型）,2017,8,"2050,2150,2250",5995,"2870,2970,3070",4490,2985,77.60,三元材料锂离子电池,nan,110.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/4500/850,永磁同步电机,80,nan,nan,nan,310,nan,0.267,nan,nan,配置ID： NC203383 *
297,奇瑞汽车股份有限公司,奇瑞牌,纯电动轿车,SQR7000BEVJ72,（第1批发布推荐车型）,2017,8,"1670, 1670, 1670, 1670, 1670","3200, 3200, 3200, 3200, 3200","1550,1590, 1550,1590, 1550,1590, 1550,1590, 1550,1590","1005,1195, 1195, 1005, 1005, 1005","855,895, 895, 855, 855, 855",nan,"三元锂离子电池, 三元锂离子电池, 三元锂离子电池, 三元锂离子电池, 三元锂离子电池",nan,"101.24, 103.40, 101.20, 98.40, 103.89",nan,"12.40, 12.40, 12.30, 12.30, 10.20",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/2387/120, 30/2387/120, 30/2387/120, 30/2387/120, 30/2387/120","永磁同步电机, 永磁同步电机, 永磁同步电机, 永磁同步电机, 永磁同步电机","100, 100, 100, 100, 100",nan,nan,"151, 151, 151, 151, 151",nan,nan,nan,"100, 100, 100, 100, 100",nan,"配置ID： NC240220 *, 配置ID： NC212944 *, 配置ID： NC189259 *, 配置ID： NC189231 *, 配置ID： NC189156 *"
298,厦门金龙联合汽车工业有限公司,金龙牌,插电式混合动力城市客车,XMQ6106AGCHEVD59,（第6批发布推荐车型）,2017,8,"2500, 2500, 2500","10500, 10500, 10500","3400,3450, 3400,3450, 3400,3450","16550, 16550, 16550","11200,11700,12400, 11200,11700,12400, 11200,11700,12400","47.69, 47.69, 47.69","磷酸铁锂蓄电池, 磷酸铁锂蓄电池, 磷酸铁锂蓄电池","3.70, 3.70, 3.70",nan,nan,nan,"是, 是, 是","CA6DLD-20E5, YC6J200-52, WP6.200E50","一汽解放汽车有限公司无锡柴油机厂, 广西玉柴机器股份有限公司, 潍柴(潍坊)中型柴油机有限公司","6600/149, 6494/147, 6750/147",nan,"14.80, 14.80, 14.90",nan,nan,nan,"柴油/电混合动力, 柴油/电混合动力, 柴油/电混合动力","135/3000/2100, 135/3000/2100, 135/3000/2100","永磁同步电机, 永磁同步电机, 永磁同步电机","69, 69, 69",nan,"85, 85, 85",nan,nan,"60.50, 60.50, 60.30",nan,nan,nan,"配置ID： NC226502 *, 配置ID： NC226501, 配置ID： NC226500"
299,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6809JEVW0C,（第2批发布推荐车型）,2017,8,2280,8050,"2860,2980",9600,6350,94.60,磷酸铁锂电池,12.00,"134.42(L176D01),131.11(L176B01)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/4000/1500,永磁同步电机,69,nan,nan,nan,201,nan,0.230,nan,nan,配置ID： NC197555 *
300,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6105JEVD0C1,（第2批发布推荐车型）,2017,8,"2550, 2550, 2550","10480, 10480, 10480","3300,3150, 3300,3150, 3300,3150","17500, 17500, 17500","11600,12090, 11600,12090, 11600,12090","202.80, 202.80, 202.80","磷酸铁锂电池, 磷酸铁锂电池, 磷酸铁锂电池","13.90, 13.90, 13.90","134.42, 134.42, 134.42",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"200/2500/2500, 180/2500/2800, 200/3000/2800","永磁同步电机, 永磁同步电机, 永磁同步电机","69, 69, 69",nan,nan,nan,"265, 265, 265",nan,"0.224, 0.226, 0.225",nan,nan,"配置ID： NC240615 *, 配置ID： NC240581 *, 配置ID： NC197671"
301,厦门金龙旅行车有限公司,金旅牌,纯电动客车,XML6102JEVW0,（第4批发布推荐车型）,2017,8,"2500,2550",10490,"3400,3600",17500,"12000,11600,11200",152.10,磷酸铁锂电池,10.40,136.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,220/3500/2300,永磁同步电机,100,nan,nan,nan,201,nan,0.218,nan,nan,配置ID： NC214564 *
302,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6805JEVD0C,（第3批发布推荐车型）,2017,8,"2350, 2350","8045, 8045","2930,3050, 2930,3050","11400, 11400","7350,7750, 7350,7750","111.50, 111.50","磷酸铁锂电池, 磷酸铁锂电池","12.50, 12.50","131.11, 131.11",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"180/4000/2000, 150/3000/2000","永磁同步电机, 永磁同步电机","69, 69",nan,nan,nan,"214, 214",nan,"0.227, 0.228",nan,nan,"配置ID： NC240605 *, 配置ID： NC204743"
303,厦门金龙旅行车有限公司,金旅牌,纯电动城市客车,XML6105JEVW0C1,（第4批发布推荐车型）,2017,8,2550,10480,"3300,3150,3450",18000,"12200,12600",304.10,磷酸铁锂电池,19.20,136.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180/2500/2800,永磁同步电机,69,nan,nan,nan,398,nan,0.225,nan,nan,配置ID： NC213901 *
304,中通客车控股股份有限公司,中通牌,插电式混合动力城市客车,LCK6107PHEVNC,（第1批发布推荐车型）,2017,8,2500,10500,"3120,3280,3480",16500,"10400,11000,11680",25.53,锰酸锂电池,4.10,nan,nan,nan,是,WP6NG210E50,潍柴西港新能源动力有限公司,6750/155,nan,nan,nan,nan,nan,NG/电混合动力,160/3000/1500,永磁同步电机,69,nan,57,nan,nan,nan,nan,nan,nan,配置ID： NC191579 *
305,南京金龙客车制造有限公司,开沃牌,纯电动邮政车,NJL5031XYZBEV,（第3批发布推荐车型）,2017,8,1700,4900,"2240,1980",3390,1900,46.33,三元锂锂离子动力蓄电池,nan,111.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/500,永磁同步电机,100,nan,nan,221,nan,nan,0.256,nan,nan,配置ID： NC204852 *
306,南京金龙客车制造有限公司,开沃牌,纯电动厢式运输车,NJL5031XXYBEV,（第3批发布推荐车型）,2017,8,1700,4900,"2240,1980",3390,1900,46.33,三元锂锂离子动力蓄电池,nan,111.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/500,永磁同步电机,100,nan,nan,221,nan,nan,0.256,nan,nan,配置ID： NC204541 *
307,南京金龙客车制造有限公司,开沃牌,纯电动邮政车,NJL5032XYZBEV,（第3批发布推荐车型）,2017,8,1700,5200,"2240,1980",3490,2000,46.33,三元锂锂离子动力蓄电池,nan,111.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/500,永磁同步电机,100,nan,nan,213,nan,nan,0.259,nan,nan,配置ID： NC204967 *
308,南京金龙客车制造有限公司,开沃牌,纯电动厢式运输车,NJL5032XXYBEV,（第3批发布推荐车型）,2017,8,1700,5200,"2240,1980",3490,2000,46.33,三元锂锂离子动力蓄电池,nan,111.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/500,永磁同步电机,100,nan,nan,213,nan,nan,0.259,nan,nan,配置ID： NC204919 *
309,湖南中车时代电动汽车股份有限公司,中国中车牌,纯电动城市客车,TEG6106BEV14,（第2批发布推荐车型）,2017,8,"2490, 2490","10490, 10490","3280,3150, 3280,3150","16000, 16000","11200,10900,10600, 11200,10900,10600","138.20, 138.20","磷酸铁锂蓄电池, 磷酸铁锂蓄电池","9.50,9.70,10.00, 9.50,9.70,10.00","137.27, 137.27",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"150/3000/2500, 150/3000/2500","永磁同步电机, 永磁同步电机","69, 69",nan,nan,nan,"250, 250",nan,"0.207, 0.207",nan,nan,"配置ID： NC226385 *, 配置ID： NC197322 *"
310,石家庄中博汽车有限公司,广通客车牌,纯电动城市客车,SQ6121BEVBT7,（第3批发布推荐车型）,2017,8,2540,12000,"3040,2840",18000,12700,69.60,钛酸锂蓄电池,12.90,nan,5.16C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,nan,nan,0.230,nan,nan,配置ID： NC207411 *
311,烟台舒驰客车有限责任公司,舒驰牌,纯电动厢式运输车,YTK5040XXYEV2,（第1批发布推荐车型）,2017,8,"1995, 1995","5960, 5960","2650, 2650","4490, 4490","3000, 3000","75.00, 75.00","三元锂电池, 三元锂电池",nan,"123.64, 127.96",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"100/4000/745, 100/4000/745","永磁同步电机, 永磁同步电机","100, 100",nan,nan,nan,"380, 380",nan,"0.227, 0.236",nan,nan,"配置ID： NC239515 *, 配置ID： NC186877 *"
312,重庆瑞驰汽车实业有限公司,瑞驰牌,纯电动厢式运输车,CRC5030XXYB-LBEV,（第1批发布推荐车型）,2017,8,"1680, 1680, 1680","4500, 4500, 4500","2000, 2000, 2000","2510, 2510, 2510","1640, 1640, 1640","41.40, 41.40, 41.40","锰酸锂动力蓄电池, 锰酸锂动力蓄电池, 锰酸锂动力蓄电池",nan,"104.44,105.64,102.38,101.42, 101.42, 104.44",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"60/9000/200, 60/8500/191, 60/8500/191","交流永磁同步电机, 交流永磁同步电机, 交流永磁同步电机","80, 80, 80",nan,nan,"233, 233, 233",nan,nan,"0.462, 0.455, 0.464",nan,nan,"配置ID： NC231631 *, 配置ID： NC213121, 配置ID： NC185906"
313,四川新筑通工汽车有限公司,通工牌,混合动力城市客车,TG6101CPHEV1,（第5批发布推荐车型）,2017,8,2480,10490,3450,17000,12600,42.12,锰酸锂电池,3.20,nan,nan,nan,是,YC6J210N-52,广西玉柴机器股份有限公司,6494/155,nan,nan,nan,nan,nan,NG/电混合动力,135/2600/2100,永磁同步电机,69,nan,51,nan,nan,nan,nan,nan,nan,配置ID： NC201517 *
314,成都通途交通机械实业有限公司,通途牌,纯电动厢式运输车,CTT5042XXYGW1BEV,（第3批发布推荐车型）,2017,8,"2120, 2120","5995, 5995","2900, 2900","4495, 4495","3370, 3370","75.30, 75.30","三元镍钴锰酸锂复合材料电池, 三元镍钴锰酸锂复合材料电池",nan,"103.08, 103.08",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"90/4000/1200, 90/4000/1200","三相交流电机, 三相交流电机","80, 80",nan,nan,nan,"255, 255",nan,"0.453, 0.453",nan,nan,"配置ID： NC203996 *, 配置ID： NC203984 *"
315,成都通途交通机械实业有限公司,通途牌,纯电动厢式运输车,CTT5040XXYGW1BEV,（第4批发布推荐车型）,2017,8,"2000,2120",5995,2900,4495,3370,89.90,三元镍钴锰酸锂复合材料电池,nan,113.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/4000/1000,交流电机,80,nan,nan,nan,290,nan,0.488,nan,nan,配置ID： NC215370 *
316,成都雅骏汽车制造有限公司,通途牌,纯电动厢式运输车,CTT5071XXYGW1BEV,（第3批发布推荐车型）,2017,8,1980,5995,"2900,2860",7100,4050,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/4000/1000,交流电机,80,nan,nan,nan,170,nan,0.292,nan,nan,配置ID： NC203850 *
317,成都雅骏汽车制造有限公司,通途牌,纯电动仓栅式运输车,CTT5041CCYGW1BEV,（第5批发布推荐车型）,2017,8,2155,5995,3010,4495,3210,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/4000/1000,交流电机,80,nan,nan,nan,250,nan,0.456,nan,nan,配置ID： NC218759 *
318,成都通途交通机械实业有限公司,通途牌,纯电动冷藏车,CTT5030XLCGC1BEV,（第1批发布推荐车型）,2017,8,1560,4240,"2530,2460",2800,1900,43.60,三元镍钴锰酸锂复合材料电池,nan,100.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/4700/500,永磁同步电机,85,nan,nan,250,nan,nan,0.350,nan,nan,配置ID： NC188937 *
319,成都雅骏汽车制造有限公司,通途牌,纯电动仓栅式运输车,CTT5040CCYGC2BEV,（第6批发布推荐车型）,2017,8,2150,5995,2930,4495,3210,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/3500/1200,三相交流电动机,85,nan,nan,nan,255,nan,0.448,nan,nan,配置ID： NC225610 *
320,成都通途交通机械实业有限公司,通途牌,纯电动厢式运输车,CTT5040XXYGC2BEV,（第3批发布推荐车型）,2017,8,2150,5995,2930,4495,3300,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/3500/1200,三相交流电动机,85,nan,nan,nan,255,nan,0.412,nan,nan,配置ID： NC208414 *
321,成都雅骏汽车制造有限公司,通途牌,纯电动厢式运输车,CTT5041XXYBEV,（第1批发布推荐车型）,2017,8,2120,5995,2900,4495,3370,75.30,三元镍钴锰酸锂复合材料电池,nan,103.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/4000/1000,交流电机,80,nan,nan,nan,250,nan,0.480,nan,nan,配置ID： NC188835 *
322,成都通途交通机械实业有限公司,通途牌,纯电动厢式运输车,CTT5030XXYGC1BEV,（第1批发布推荐车型）,2017,8,1560,"4190,4390,4590","2120,2485",2710,"1800,1690",43.60,三元镍钴锰酸锂复合材料电池,nan,100.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/4700/500,永磁同步电机,85,nan,nan,250,nan,nan,0.340,nan,nan,配置ID： NC188923 *
